1007807774296768514	FranSolar	2018-06-16 02:11:12	@monrealop @MFerrada Muchas gracias!	Providencia
1007807787710189568	leocespedesm	2018-06-16 02:11:15	"Mañana Sabado 16 Junio 21 hrs.
Cata whisky en… https://t.co/8xjreFh6bp"	Viña del Mar
1007807800360210432	PaoFerroggiaro	2018-06-16 02:11:18	@_jwe 😍	La Reina
1007807814989942785	omarseguel58	2018-06-16 02:11:21	@RodrigoFortino @euge2145 Cómo si él fuera el mejor ejemplo de honestidad, otro zurdo castrado mental y resentido s… https://t.co/eCmIbYggqd	Chillán
1007807832832577536	aracelyparedes	2018-06-16 02:11:26	Grande Choropez🎉🎉 @FelipeAvello https://t.co/fXVZk9UjOp	Concepción
1007807843074895872	PCortesC	2018-06-16 02:11:28	La raja!!! mil… https://t.co/T3DuPkdLE1	Antofagasta
1007807844572426241	Freddyohlo	2018-06-16 02:11:28	Dije que este año iba a leer un libro mensual, estando a mitad de año este es el N°12, el mundo de la literatura es… https://t.co/hFByDxVyZe	Cerrillos
1007807852084330497	hnarbona	2018-06-16 02:11:30	@forovalposible Comisión de Minería discute proyectos de ley para avanzar en nacionalización del litio https://t.co/Py76G1Clgk vía @biobio	Valparaíso
1007807851543265280	cguerrerogalvez	2018-06-16 02:11:30	"@mjossandon @JosefinGarciah Ahora pregúntenle al juez si el alunizaje hay q escribirlo con ""x"" o con ""e"""	San Miguel
1007807886058246144	vigove	2018-06-16 02:11:38	Arenito crack, grande @COBRESAL ctm	San Bernardo
1007807889719914503	G_IsaCamus	2018-06-16 02:11:39	@Mirnaz_Sa 🤦	Macul
1007807895633846272	____elizabetha	2018-06-16 02:11:41	Cachai que he usado mi Twitter para puro reclamar. ¿En qué momento me convertí en una vieja amargada? Quizás siempre lo fuí.	Viña del Mar
1007807897068240901	CakoLopez	2018-06-16 02:11:41	@alb0black Lastima que toda historia sea reemplazable por papel moneda	Puente Alto
1007807901803646977	jessica21012612	2018-06-16 02:11:42	@serfraor por que tonterías ,tienes mal humor ?????	Concepción
1007807902982254592	Rocklando_	2018-06-16 02:11:42	@popelinna Bonita terapia #Wena	Ñuñoa
